id,screen_name,friends_count,followers_count,created_at,retweet_count,location,source,text,statuses_count,verified,url
1291328045371002885,steph4freedom,821,363,2009-02-03 02:08:37,443,,Twitter for iPhone,RT @richardursomd: I have a lot of older patients. They are living in complete fear of this virus. The message they hear is “COVID IS HUNTI…,,False,https://twitter.com/steph4freedom/status/1291328045371002885
1291328032112689153,yuanxiangtang,4858,1648,2019-06-06 09:12:41,7,,Twitter for Android,"RT @David_F_Priest: @drsimonegold Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to gain financia…",,False,https://twitter.com/yuanxiangtang/status/1291328032112689153
1291328017910833153,mHKP3IROC2a0wdB,867,329,2020-04-24 00:03:51,1,,Twitter for Android,"@ellymelly Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to gain financi… https://t.co/RL7UgWSRmE",,False,https://twitter.com/mHKP3IROC2a0wdB/status/1291328017910833153
1291327895504207874,mHKP3IROC2a0wdB,867,329,2020-04-24 00:03:51,0,,Twitter for Android,"@AFP Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to gain financially w… https://t.co/ky43dJ97WO",,False,https://twitter.com/mHKP3IROC2a0wdB/status/1291327895504207874
1291327877447708673,rowdygirlmel,3895,3724,2010-09-27 14:08:36,1,,Twitter for Android,"Read it. Let is sink in.
THEN READ IT AGAIN.

#FollowTheMoney
#HCQWorks https://t.co/QK9My5fvEQ",,False,https://twitter.com/rowdygirlmel/status/1291327877447708673
1291327820887519232,mHKP3IROC2a0wdB,867,329,2020-04-24 00:03:51,0,,Twitter for Android,"@SkyNewsAust @JoeBiden Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to… https://t.co/3dqJlBt8HD",,False,https://twitter.com/mHKP3IROC2a0wdB/status/1291327820887519232
1291327748472889344,mHKP3IROC2a0wdB,867,329,2020-04-24 00:03:51,8,,Twitter for Android,"RT @David_F_Priest: Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to gain financially with profi…",,False,https://twitter.com/mHKP3IROC2a0wdB/status/1291327748472889344
1291327237749239809,David_F_Priest,3723,1116,2014-09-08 02:46:06,8,,Twitter for iPad,"Those against HCQ are either anti-Trump, pro-CCP, or have a conflict of interest seeking to gain financially with p… https://t.co/vwthbLbv5U",,False,https://twitter.com/David_F_Priest/status/1291327237749239809
1291327029174874113,freedom6413,530,583,2019-06-03 23:59:23,1385,,Twitter for Android,"RT @dockaurG: Watch this. 

Then watch it again.

Let what @drsimonegold is courageously saying sink in. Dr. Gold is bravely fighting for y…",,False,https://twitter.com/freedom6413/status/1291327029174874113
1291327026469548032,CloseCurtain,1217,678,2013-12-12 19:34:04,104,,Twitter Web App,RT @k_helca: @richardursomd @hugodejonge @ihoepelm @SchuitemakerH @zev_dr @MinVWS @jack @gjknoops @rivm @MinPres #ZelenkoProtocol #COVID19…,,False,https://twitter.com/CloseCurtain/status/1291327026469548032
